r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
112.75944633154357,6.973165621722512e-159,-2.548966875480614e-158,-1.7284364383354622,-6.419834288325591e-05,0.7717623967017657,3.9113157157544265e-13,0.058329547255030874,1.7517899927739728,5.860202508437851
112.78702127265446,6.283500853115232e-159,-2.296867487175794e-158,-1.728438207951897,-6.415126148116459e-05,0.7717623967017653,3.906874823655926e-13,0.05828676720467854,1.7517899927739728,5.860202508437851
112.8146029571239,5.647312040559462e-159,-2.0643156456907212e-158,-1.728439976703067,-6.410421459966448e-05,0.7717623967017649,3.9035441545820504e-13,0.05824402511424786,1.7517899927739728,5.860202508437851
112.84219138660096,5.062420736947038e-159,-1.8505150434941928e-158,-1.7284417445893743,-6.405720221455536e-05,0.7717623967017646,3.900213485508175e-13,0.05820131171286012,1.7517899927739728,5.860202508437851
112.869786562735,4.526645263010699e-159,-1.6546681915745737e-158,-1.728443511611222,-6.401022430157488e-05,0.771762396701764,3.894662370385049e-13,0.05815862085339568,1.7517899927739728,5.860202508437851
112.897388487176,4.0378007040122245e-159,-1.4759764182291883e-158,-1.728445277769015,-6.39632808363979e-05,0.7717623967017638,3.892441924335799e-13,0.058115974751937756,1.7517899927739728,5.860202508437851
112.92499716157437,3.5936989064393337e-159,-1.3136398678569022e-158,-1.7284470430631593,-6.391637179463665e-05,0.7717623967017634,3.888001032237298e-13,0.05807335150834497,1.7517899927739728,5.860202508437851
112.95261258758065,3.1921484746987667e-159,-1.1668574997493156e-158,-1.7284488074940623,-6.386949715184132e-05,0.771762396701763,3.8846703631634227e-13,0.05803076389729837,1.7517899927739728,5.860202508437851
112.9802347668458,2.830954767797127e-159,-1.0348270868774828e-158,-1.7284505710621325,-6.382265688349938e-05,0.7717623967017626,3.880229471064922e-13,0.057988202607746286,1.7517899927739728,5.860202508437851
113.00786370102145,2.507919896021462e-159,-9.167452146785343e-159,-1.72845233376778,-6.377585096503511e-05,0.7717623967017623,3.8768988019910466e-13,0.05794567727765574,1.7517899927739728,5.860202508437851
113.03549939175959,2.22084271762439e-159,-8.118072798439606e-159,-1.7284540956114158,-6.372907937181012e-05,0.7717623967017618,3.872457909892546e-13,0.057903181747719995,1.7517899927739728,5.860202508437851
113.0631418407124,1.9675188355023046e-159,-7.192074891053657e-159,-1.728455856593453,-6.368234207912347e-05,0.7717623967017615,3.8691272408186705e-13,0.057860716175155494,1.7517899927739728,5.860202508437851
113.09079104953258,1.745740593866677e-159,-6.381388580177e-159,-1.728457616714305,-6.363563906221108e-05,0.7717623967017612,3.865796571744795e-13,0.057818283887185774,1.7517899927739728,5.860202508437851
113.11844701987313,1.5532970749170777e-159,-5.677932097431181e-159,-1.728459375974388,-6.358897029624603e-05,0.7717623967017607,3.8613556796462944e-13,0.05777587870446436,1.7517899927739728,5.860202508437851
113.14610975338766,1.387974095507842e-159,-5.073611738325135e-159,-1.7284611343741176,-6.354233575633798e-05,0.7717623967017603,3.856914787547794e-13,0.05773350712683367,1.7517899927739728,5.860202508437851
113.17377925173018,1.2475542038157508e-159,-4.560321850074306e-159,-1.7284628919139124,-6.349573541753343e-05,0.77176239670176,3.8535841184739184e-13,0.0576911693196256,1.7517899927739728,5.860202508437851
113.20145551655493,1.1298166760031263e-159,-4.1299448194029163e-159,-1.7284646485941915,-6.34491692548159e-05,0.7717623967017596,3.850253449400043e-13,0.057648859090384565,1.7517899927739728,5.860202508437851
113.22913854951648,1.0325375128766859e-159,-3.7743510603307523e-159,-1.7284664044153752,-6.340263724310576e-05,0.7717623967017592,3.8458125573015423e-13,0.0576065797724042,1.7517899927739728,5.860202508437851
113.2568283522702,9.534894365429599e-160,-3.4853990019474817e-159,-1.7284681593778861,-6.335613935725932e-05,0.7717623967017588,3.842481888227667e-13,0.05756433470859016,1.7517899927739728,5.860202508437851
113.28452492647139,8.904418870652259e-160,-3.254935076192358e-159,-1.7284699134821468,-6.330967557207024e-05,0.7717623967017585,3.8391512191537913e-13,0.05752211769334499,1.7517899927739728,5.860202508437851
113.31222827377621,8.411610191115109e-160,-3.0747937056014665e-159,-1.7284716667285824,-6.326324586226786e-05,0.7717623967017581,3.8347103270552907e-13,0.05747993206780775,1.7517899927739728,5.860202508437851
113.33993839584089,8.034096986047354e-160,-2.9367972910625467e-159,-1.7284734191176188,-6.321685020251853e-05,0.7717623967017577,3.831379657981415e-13,0.05743777799202861,1.7517899927739728,5.860202508437851
113.36765529432205,7.749474993666734e-160,-2.832756199547508e-159,-1.7284751706496828,-6.317048856742485e-05,0.7717623967017574,3.82804898890754e-13,0.05739565562634271,1.7517899927739728,5.860202508437851
113.39537897087696,7.53530699759984e-160,-2.754468751837593e-159,-1.7284769213252043,-6.312416093152535e-05,0.7717623967017571,3.8247183198336643e-13,0.05735356513137089,1.7517899927739728,5.860202508437851
113.4231094271633,7.369122793276946e-160,-2.693721210239542e-159,-1.7284786711446118,-6.307786726929472e-05,0.7717623967017566,3.8202774277351637e-13,0.05731150027251805,1.7517899927739728,5.860202508437851
113.4508466648389,7.228419154293823e-160,-2.642287766289356e-159,-1.7284804201083377,-6.303160755514405e-05,0.7717623967017562,3.815836535636663e-13,0.057269467597091825,1.7517899927739728,5.860202508437851
113.47859068556214,7.090659798741408e-160,-2.591930528444584e-159,-1.7284821682168143,-6.298538176342043e-05,0.7717623967017558,3.8125058665627876e-13,0.05722747046900647,1.7517899927739728,5.860202508437851
113.50634149099167,6.933275355509434e-160,-2.53439950976695e-159,-1.7284839154704759,-6.293918986840694e-05,0.7717623967017555,3.809175197488912e-13,0.05718550264747597,1.7517899927739728,5.860202508437851
113.53409908278677,6.73366333055789e-160,-2.461432615593277e-159,-1.7284856618697577,-6.289303184432223e-05,0.7717623967017551,3.8047343053904115e-13,0.057143561080345656,1.7517899927739728,5.860202508437851
113.56186346260715,6.469188073159647e-160,-2.3647556311958003e-159,-1.7284874074150964,-6.284690766532075e-05,0.7717623967017547,3.801403636316536e-13,0.05710165554432798,1.7517899927739728,5.860202508437851
113.58963463211269,6.117180742116328e-160,-2.2360822094327554e-159,-1.7284891521069308,-6.280081730549301e-05,0.7717623967017543,3.7969627442180354e-13,0.05705977657352799,1.7517899927739728,5.860202508437851
113.61741259296366,5.654939271941857e-160,-2.0671138583871906e-159,-1.7284908959456993,-6.275476073886523e-05,0.771762396701754,3.79363207514416e-13,0.05701793074513155,1.7517899927739728,5.860202508437851
113.64519734682109,5.110983865213e-160,-1.868275860364815e-159,-1.7284926389318387,-6.27087379396343e-05,0.7717623967017536,3.7903014060702844e-13,0.056976115005747244,1.7517899927739728,5.860202508437851
113.67298889534597,4.602214212983898e-160,-1.6822997036448143e-159,-1.7284943810657558,-6.266274888360074e-05,0.7717623967017533,3.786970736996409e-13,0.05693433273069471,1.7517899927739728,5.860202508437851
113.70078724020011,4.133014500160596e-160,-1.5107879801105563e-159,-1.7284961223478443,-6.261679354719096e-05,0.7717623967017528,3.7825298448979083e-13,0.056892574419845146,1.7517899927739728,5.860202508437851
113.72859238304545,3.7017717644140646e-160,-1.3531510858509013e-159,-1.7284978627785001,-6.257087190677129e-05,0.7717623967017525,3.779199175824033e-13,0.056850853110599134,1.7517899927739728,5.860202508437851
113.75640432554428,3.3068706502796516e-160,-1.2087985421654496e-159,-1.7284996023581205,-6.25249839386471e-05,0.7717623967017521,3.774758283725532e-13,0.056809159296300454,1.7517899927739728,5.860202508437851
113.78422306935957,2.946693406706369e-160,-1.0771389946687086e-159,-1.7285013410871035,-6.247912961906243e-05,0.7717623967017517,3.771427614651657e-13,0.056767496355750166,1.7517899927739728,5.860202508437851
113.81204861615464,2.6196198846126956e-160,-9.575802123966351e-160,-1.7285030789658489,-6.24333089242003e-05,0.7717623967017514,3.7680969455777813e-13,0.056725864446735746,1.7517899927739728,5.860202508437851
113.83988096759305,2.3240275344360474e-160,-8.495290869108694e-160,-1.7285048159947574,-6.238752183018294e-05,0.7717623967017511,3.764766276503906e-13,0.05668426372732541,1.7517899927739728,5.860202508437851
113.86772012533883,2.0582914036757522e-160,-7.523916314005891e-160,-1.7285065521742315,-6.234176831307122e-05,0.7717623967017506,3.760325384405405e-13,0.056642691120365594,1.7517899927739728,5.860202508437851
113.89556609105635,1.8207841344393716e-160,-6.655729797855903e-160,-1.7285082875046747,-6.229604834886497e-05,0.7717623967017503,3.7569947153315297e-13,0.05660115325311994,1.7517899927739728,5.860202508437851
113.92341886641057,1.6098759609819413e-160,-5.884773858167787e-160,-1.7285100219864915,-6.22503619135022e-05,0.77176239670175,3.7536640462576543e-13,0.05655964381111794,1.7517899927739728,5.860202508437851
113.95127845306689,1.423934707248123e-160,-5.205082221777257e-160,-1.7285117556200882,-6.220470898285969e-05,0.7717623967017495,3.7492231541591536e-13,0.05651816294642261,1.7517899927739728,5.860202508437851
113.97914485269087,1.2613257844114132e-160,-4.6106797958514715e-160,-1.7285134884058724,-6.215908953275291e-05,0.7717623967017492,3.745892485085278e-13,0.056476714056379954,1.7517899927739728,5.860202508437851
114.00701806694848,1.1204121884074114e-160,-4.0955826588721385e-160,-1.7285152203442526,-6.211350353893598e-05,0.7717623967017488,3.7425618160114027e-13,0.056435297300741656,1.7517899927739728,5.860202508437851
