sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,1.62,20.35819309391554,0.9694377663769304,-3.0562233623069646,1.1960197882629113,0.8042293252346051
suppression,-1,1.6300000000000001,20.354298906826887,0.9692523288965185,-3.0747671103481533,1.204173991024796,0.8093524550217664
suppression,-1,1.6400000000000001,20.35040553900183,0.9690669304286585,-3.0933069571341454,1.2123264782960512,0.8144745069989443
suppression,-1,1.6500000000000001,20.346512990259377,0.9688815709647323,-3.1118429035267736,1.2204712228862498,0.8196100770550406
suppression,-1,1.6600000000000001,20.342621260418575,0.9686962504961226,-3.1303749503877376,1.2286135531533202,0.824746263822847
suppression,-1,1.67,20.338730349298515,0.9685109690142151,-3.1489030985784927,1.2367567858670345,0.8298864339814915
suppression,-1,1.68,20.334840256718326,0.9683257265103965,-3.16742734896035,1.2449037039344706,0.8350359753064249
suppression,-1,1.69,20.330950982497182,0.9681405229760562,-3.185947702394376,1.2530489081341907,0.8401844333219944
suppression,-1,1.7,20.327062526454295,0.9679553584025855,-3.204464159741449,1.2611829741675264,0.8453431775430703
suppression,-1,1.71,20.323174888408914,0.9677702327813769,-3.222976721862314,1.269312278554332,0.8505045164752622
suppression,-1,1.72,20.31928806818034,0.9675851461038258,-3.2414853896174156,1.27744326340506,0.8556673783268383
suppression,-1,1.73,20.315402065587904,0.9674000983613288,-3.2599901638671214,1.2855876550233738,0.8608407851614612
suppression,-1,1.74,20.31151688045098,0.9672150895452848,-3.278491045471521,1.29373033339583,0.866013103723535
suppression,-1,1.75,20.307632512588988,0.9670301196470946,-3.296988035290538,1.3018694847519465,0.8711927789493513
suppression,-1,1.76,20.303748961821384,0.9668451886581612,-3.315481134183884,1.3100057618959888,0.8763767740970307
suppression,-1,1.77,20.299866227967662,0.9666602965698887,-3.333970343011128,1.3181394964865807,0.88156014372338
suppression,-1,1.78,20.29598431084737,0.9664754433736843,-3.3524556626315705,1.32624823433921,0.8867554503452587
suppression,-1,1.79,20.292103210280082,0.9662906290609563,-3.3709370939043692,1.334355266536089,0.8919496641454462
suppression,-1,1.8,20.288222926085417,0.9661058536231151,-3.3894146376884926,1.3424735372863437,0.8971485493429172
suppression,-1,1.81,20.284343458083036,0.9659211170515731,-3.407888294842687,1.3506054165303405,0.9023531613620233
suppression,-1,1.82,20.280464806092642,0.9657364193377449,-3.42635806622551,1.3587355853050322,0.9075566786367489
suppression,-1,1.83,20.276586969933984,0.9655517604730468,-3.4448239526953195,1.3668528307524968,0.9127700890204785
suppression,-1,1.84,20.272709949426833,0.9653671404488968,-3.463285955110318,1.3749668420829964,0.917983898873831
suppression,-1,1.85,20.268833744391028,0.9651825592567156,-3.481744074328441,1.3830774582627237,0.9232002081362755
suppression,-1,1.86,20.26495835464642,0.9649980168879247,-3.5001983112075252,1.3911824459036974,0.9284237743893352
suppression,-1,1.87,20.26108378001292,0.9648135133339486,-3.5186486666051398,1.3992857288218208,0.9336462419691895
suppression,-1,1.8800000000000001,20.257210020310477,0.9646290485862132,-3.5370951413786766,1.4073935695987718,0.9388758396569911
